genome_accession,genome_ftp_path,SRA_run_accession
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318334
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318347
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR25318329
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR14626932
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR14626935
GCF_013339725.1_ASM1333972v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/339/725/GCF_013339725.1_ASM1333972v1,SRR11263447
GCA_000469725.3_EMULTI002,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/725/GCA_000469725.3_EMULTI002,SRR23725278
GCA_000469725.3_EMULTI002,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/725/GCA_000469725.3_EMULTI002,SRR22558380
GCF_016920785.2_ASM1692078v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2,SRR13398844
GCF_016920785.2_ASM1692078v2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/785/GCF_016920785.2_ASM1692078v2,SRR13398845
GCA_037355805.1_I.ric_WGA_PrF_JU,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/355/805/GCA_037355805.1_I.ric_WGA_PrF_JU,SRR26680169
